DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,id
0,0,3,62.53203,suicide,0,3,54,0,0,0.0,DNW_Rex,account.4336aa6b8f9d41c28a7d83d72eff2d3e,0,0.0,0,0.0,0,845,0,312.65198,4,12,98dd9893-33ea-4420-b067-ec066fca497e
2,1,8,316.27,byplayer,1,4,6,2,3,83.80536,TL_mxey,account.e0eb2ef6f3834862bea364b261552568,1,6377.131,0,0.0,0,1869,0,1215.4829,4,3,8c81d072-d235-4b56-87a2-b141a34754ec
1,0,8,368.50613,byplayer,0,2,37,0,0,0.0,TL_ibiza,account.f57dc4ce7e1e43e99ef23ad2aecd1756,1,3468.316,0,0.0,0,1858,0,2073.1392,4,3,b8c95c27-dd55-4290-a475-24b3909cc101
0,0,3,68.64529,byplayer,0,4,41,0,0,0.0,SSG_oldless,account.895937195477442b85686956ada8cd61,0,7347.83,0,0.0,0,1228,0,652.53577,3,6,a101bf19-b8ea-42fa-80d0-b250c7b4caf0
0,0,2,100.00001,byplayer,0,1,26,1,1,58.495365,Uniq_Faultlessly,account.4f7424efc4fe4a2589de10dccdc3686d,1,627.288,0,0.0,0,1236,0,1191.5477,5,11,7079eeb7-24b6-4686-b065-0a170a585977
3,2,7,533.9692,alive,1,5,5,1,3,176.4995,NH_ZpYan1,account.ed3274ce35d34aa6ae75e8fe56b909d8,0,804.6041,0,0.0,0,1908,0,2117.2478,5,1,b06d7c58-c21a-4633-9331-620c10711f0d
1,0,5,100.0,byplayer,1,6,17,1,1,262.91983,KX_YUPPIE,account.b70e24fc050242b4a2b27553d319cd70,1,5146.5996,0,0.0,0,1415,0,1192.0247,3,5,bada5674-812e-401e-88e8-4f7336b749d3
1,1,4,111.65204,byplayer,0,1,51,0,0,0.0,BRU_GodMiao,account.8fca47b04daf43e6aba289413db95d01,0,5423.102,0,0.0,0,1431,0,1102.9824,5,10,41a7dfe5-b4a1-4315-b88e-94679d16ffca
0,0,0,0.0,byplayer,0,0,36,0,0,0.0,GEN_Asura,account.f97eb2645f994b9ba02ce9a737e9d6ad,0,6413.227,0,0.0,0,863,0,889.1557,3,2,3c44ff6c-7144-4b3b-af68-58074210c346
0,1,13,198.15709,byplayer,0,19,14,1,1,205.65244,GEN_Pio,account.826adbebc2e24047833760ccc0c00842,0,6751.015,0,0.0,0,1902,1,1212.6841,3,2,3e48ec20-67c4-494f-b1b9-b5fde1b8ab22
3,4,2,695.64026,alive,1,1,4,1,3,249.51352,NH_MMing,account.bc54127863064a93b679160661b94f3b,0,1730.211,0,0.0,0,1908,0,1106.6776,7,1,84cf80a4-2ba5-4ab0-b45f-5b4a4a5034f9
1,0,6,382.10553,byplayer,0,3,11,2,2,75.871124,KX_Lanren,account.e6e5a4d2c56e4c10bea2d771493c493c,1,4881.2324,0,0.0,0,1771,2,1981.9868,7,5,572e5684-b050-4cc1-9c2f-3836e684535c
1,0,3,81.47995,byplayer,0,1,61,0,0,0.0,VP_BatulinS,account.cac4a386ea5a44b199e94694cdcdbb1e,0,0.0,0,0.0,0,794,0,664.8033,3,15,5d549fed-e958-4876-b251-6c69215a60dd
1,0,2,252.62549,byplayer,0,0,21,1,1,42.7755,FaZe_Fuzzface,account.246d74ca95064c81976e9349b8a55925,0,2119.782,0,0.0,0,1621,1,1394.9578,5,7,82eb8206-3fa3-49c3-941b-8241ae41d93d
0,0,2,0.0,byplayer,0,0,58,0,0,0.0,HERO_curexi,account.395296eb7dfc46d6b58a974db5814ae4,0,4929.768,0,0.0,0,579,0,284.84113,4,13,a973fd9a-5cc5-4eaf-8040-41ac4ac41fc7
0,0,2,0.0,byplayer,0,0,57,0,0,0.0,HERO_PaG3,account.0aa8b24612a94e08bf3ab9b33c751f4a,0,9782.777,0,0.0,0,1055,0,768.7594,3,13,a8f61316-534e-4529-a46f-7bf775079064
0,0,1,0.0,byplayer,0,0,49,0,0,0.0,AAP_CeeJay18,account.859429c3a9ef4cf787193ee3b69ebe86,0,8723.572,0,0.0,0,1126,0,575.1378,4,9,41fb22e9-c31f-4af6-bd8b-b50145e17955
0,0,4,154.77745,byplayer,0,4,44,0,0,0.0,FaZe_Gustav,account.59bf654a2c7d4b37ae1aa2929500ba6a,0,4280.5854,0,0.0,0,1601,0,1171.3777,3,7,6767c597-6d28-400f-b04c-febfb2248c00
1,0,0,100.0,byplayer,1,0,34,1,1,84.11001,BBL_mert,account.b65a8f1f06c7452dac7b171a92f8a38f,0,0.0,0,0.0,0,173,0,246.05705,3,16,d70184a2-caae-4566-add6-6ad3627c0212
1,3,3,407.3817,alive,1,1,9,1,2,344.14148,NH_Nannnnn,account.84c476ec067a486b93c9742b3facb698,0,913.76776,0,0.0,0,1908,0,1599.9153,4,1,30ead87d-b5cf-41a7-8b85-9ab4e3571d5d
1,1,0,43.377125,byplayer,0,0,32,1,1,45.718956,GBL_Adder,account.a8121514ac294bfa8556155aad4baeb4,0,0.0,0,0.0,0,167,0,53.607803,2,14,ee63dc52-43de-46d1-9257-bca262928281
